contact__c,Tenancy__r:Contract:PMS_Reference__c,role__c,start_date__c,end_date__c,external_id__c
0034J00000a4ZAKQA2,103270001001,2 Tenant,2003-08-01,,103270001001_0034J00000a4ZAKQA2
0034J00000a4ZCPQA2,103270001001,4 Permitted Occupier,2003-08-01,,103270001001_0034J00000a4ZCPQA2
003Nz000009H9eRIAS,103336078001,5 Relevant Person,,,103336078001_003Nz000009H9eRIAS
003Nz000009H9eRIAS,103336104001,5 Relevant Person,,,103336104001_003Nz000009H9eRIAS
0034J00000a4Z2KQAU,103336139001,2 Tenant,1990-10-01,,103336139001_0034J00000a4Z2KQAU
0034J00000a4YlPQAU,103337036003,2 Tenant,2003-07-15,,103337036003_0034J00000a4YlPQAU
0034J00000a4Yy0QAE,103340001002,2 Tenant,1980-01-01,,103340001002_0034J00000a4Yy0QAE
0034J00000a4ZBnQAM,103342001001,2 Tenant,1968-01-01,,103342001001_0034J00000a4ZBnQAM
0034J00000a4Z5eQAE,103384001001,2 Tenant,1976-01-01,,103384001001_0034J00000a4Z5eQAE
003Nz0000053rg3IAA,103385001006,1 Lead Tenant,2023-12-15,,103385001006_003Nz0000053rg3IAA
003Nz00000554xoIAA,103385001006,2 Tenant,2023-12-15,,103385001006_003Nz00000554xoIAA
