Id,Status__c,Tenancy__c,Parent_Tenancy
a24Nz0000010JzlIAE,Complete,8008d000000Yd6GAAS,
a24Nz0000010KcTIAU,Complete,8008d000000YFxFAAW,
a24Nz0000010KfhIAE,Complete,8008d000000YcpIAAS,
a24Nz0000010M4nIAE,Complete,8004J000001J0kIQAS,
a24Nz0000010MXpIAM,Complete,800Nz000001WZS2IAO,
a24Nz0000010NP3IAM,Complete,8008d000000YkrwAAC,
a24Nz0000010Og5IAE,Complete,800Nz000008qs6FIAQ,
a24Nz0000010WqXIAU,Complete,8008d000000YOVfAAO,
a24Nz0000010sXhIAI,Complete,8008d000000YlVfAAK,
a24Nz0000010sr3IAA,Complete,800Nz000000gm8HIAQ,
a24Nz0000010u85IAA,Complete,8008d000000YcfIAAS,
a24Nz0000010xHFIAY,Complete,8008d000000YbNVAA0,
a24Nz0000010yEwIAI,Complete,800Nz000000rYgHIAU,
a24Nz00000110qDIAQ,Complete,800Nz000001yY1RIAU,
a24Nz00000112btIAA,Complete,8008d000000YVeYAAW,
a24Nz000001142bIAA,Complete,800Nz0000030nusIAA,
a24Nz00000116h7IAA,Complete,800Nz000005MEPqIAO,
a24Nz0000011CbFIAU,Complete,800Nz000002xSLiIAM,800Pv00000G56SjIAJ
a24Nz0000011FXVIA2,Complete,800Nz000005xn3RIAQ,
a24Nz0000011UQ5IAM,Pending Cancel/Close,800Pv00000G4yTIIAZ,
a24Nz0000011UjSIAU,Complete,8008d000000YjzBAAS,800Pv00000GF369IAD
a24Nz0000011VNlIAM,Complete,8008d000000Yb6nAAC,
a24Nz0000011W5JIAU,Complete,8008d000000YkuRAAS,
a24Nz0000011X7pIAE,Complete,800Nz0000012XydIAE,
a24Nz0000011ZftIAE,Cancelled,8008d000000YlG6AAK,
a24Nz0000011ZkjIAE,Complete,8008d000000Yfi1AAC,
a24Nz0000011bszIAA,Complete,8008d000000YfYVAA0,
a24Nz0000011d5BIAQ,Complete,800Nz000007xLB6IAM,
a24Nz0000011eUJIAY,Complete,8008d000000Xv4BAAS,
a24Nz0000011gmDIAQ,Complete,8008d000000Ymv9AAC,
a24Nz0000011iGAIAY,Active,800Pv00000GF34TIAT,
