id,Tenancy__r:Contract:PMS_Reference__c,ownerid,accountid,recordtypeid,unit__c,status,startdate,tenancy_end_date__c,agreement_type__c,document_type__c,memorandum_of_agreement_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,break_clause__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c,opportunity__c,pms_reference__c
800Nz00000Cj7JZIAZ,222693003001,0054J000004vXOqQAM,001Nz00000BOBDjIAP,012Pv0000027CJSIA2,a1G8d0000004qfdEAA,Activated,2024-06-10,2025-06-09,AST,AST,,,4.00,1189,No Break,,,,,,006Nz00000B7dO8IAJ,222693003001
800Nz00000CjZVNIA3,222758220001,0054J000005JWtDQAW,001Nz00000Bkmg2IAB,012Pv0000027CJSIA2,a1GNz000000161lMAA,Activated,2024-07-13,2025-07-12,AST,AST,,,4.00,1015,No Break,,,,,,006Nz00000BTjI1IAL,222758220001
800Nz00000CjamnIAB,222697043001,0054J000004vXOqQAM,001Nz00000BBvOBIA1,012Pv0000027CJSIA2,a1G8d0000004qaxEAA,Activated,2024-05-24,2025-05-23,Licence,Parking Licence,,,6.00,0,No Break,,,,,,006Nz00000BfpD7IAJ,222697043001
800Nz00000Cjjs5IAB,222488063007,0054J000004vXOaQAM,001Nz00000Bcw6IIAR,012Pv0000027CJSIA2,a1G4J0000025xVNUAY,Activated,2024-06-20,2025-06-19,AST,AST,,,4.00,675,No Break,,,,,,006Nz00000BM6DLIA1,222488063007
800Nz00000CjycEIAR,222693011001,0054J000004vXOqQAM,001Nz00000BXLaUIAX,012Pv0000027CJSIA2,a1G8d0000004qa0EAA,Activated,2024-05-24,2025-05-23,AST,AST,,,4.00,1189,No Break,,,,,,006Nz00000BGyhuIAD,222693011001
800Nz00000CjzTcIAJ,222758244001,0054J000005JWtDQAW,001Nz00000B9qPKIAZ,012Pv0000027CJSIA2,a1GNz00000016PyMAI,Activated,2024-07-06,2025-07-05,AST,AST,,,4.00,1020,No Break,,,,,,006Nz00000AtKOdIAN,222758244001
800Nz00000Ck1odIAB,222753044001,0054J000004vXOaQAM,001Nz00000BUmX7IAL,012Pv0000027CJSIA2,a1GNz0000000xRVMAY,Activated,2024-06-01,2025-05-31,AST,AST,,,4.00,1135,2 at 4 to expire at 6,,,,,,006Nz00000BED8oIAH,222753044001
800Nz00000Ck8tMIAR,222693007001,0054J000004vXOqQAM,001Nz00000BMXbiIAH,012Pv0000027CJSIA2,a1G8d0000004qimEAA,Activated,2024-05-31,2025-05-30,AST,AST,,,4.00,913,No Break,,,,,,006Nz00000B5oPHIAZ,222693007001
800Nz00000CkDbMIAV,222758244001,0054J000005JWtDQAW,001Nz00000B9qPKIAZ,012Pv0000027CJSIA2,a1GNz00000016PyMAI,Draft,2024-07-06,2025-07-05,AST,,,,4.00,1020,No Break,,,,,,006Nz00000AtKOdIAN,222758244001
800Nz00000CkL4GIAV,222487057010,0054J000004vXOaQAM,001Nz00000BeFoSIAV,012Pv0000027CJSIA2,a1G4J0000025y1WUAQ,Activated,2024-06-29,2025-06-28,AST,AST,,,4.00,830,No Break,,,,,,006Nz00000BNIItIAP,222487057010
800Nz00000CkR9iIAF,222758246001,0054J000005JWtDQAW,001Nz00000BaMEzIAN,012Pv0000027CJSIA2,a1GNz00000016GIMAY,Activated,2024-07-27,2025-07-26,AST,AST,,,4.00,1020,No Break,,,,,,006Nz00000BJcEXIA1,222758246001
800Nz00000CkYCgIAN,418645072004,0054J000005JWtDQAW,001Nz00000BGNggIAH,012Pv0000027CJSIA2,a1G4J0000025zpCUAQ,Activated,2024-06-21,2025-06-20,AST,AST,,,4.00,1905,No Break,,,,,,006Nz00000AzekPIAR,418645072004
800Nz00000CuAAsIAN,222664064003,0058d0000034SvqAAE,001Nz00000BY2nUIAT,012Pv0000027CJSIA2,a1G4J000004juvnUAA,Activated,2024-06-03,2025-06-02,AST,AST,,,4.00,2275,No Break,,,,,,006Nz00000BHTLrIAP,222664064003
800Nz00000CuEW2IAN,222792051001,0054J000004vXOqQAM,001Nz00000BJttiIAD,012Pv0000027CJSIA2,a1GNz000001HP6HMAW,Activated,2024-07-22,2025-07-21,AST,AST,,,0.00,1050,No Break,,,,,,006Nz00000B3CXmIAN,222792051001
800Nz00000CuKBiIAN,222666155006,0058d0000034SvqAAE,001Nz00000Ae3G2IAJ,012Pv0000027CJSIA2,a1G4J000004jyhpUAA,Activated,2024-06-01,2026-05-31,AST,AST,,,4.00,1450,2 at 10 to expire at 12,,,,,,006Nz00000ANu3oIAD,222666155006
800Nz00000CuN1RIAV,222683006003,0058d0000034SvqAAE,001Nz00000BUhKYIA1,012Pv0000027CJSIA2,a1G8d0000004Xc7EAE,Draft,2024-05-29,2025-05-28,AST,AST,,,4.00,1235,2 at 4 to expire at 6,,,,,,006Nz00000BEFiSIAX,222683006003
800Nz00000CuNCpIAN,222758222001,0054J000005JWtDQAW,001Nz00000BJOujIAH,012Pv0000027CJSIA2,a1GNz000000168DMAQ,Activated,2024-05-29,2025-05-28,AST,AST,,,4.00,1410,No Break,,,,,,006Nz00000B2jnWIAR,222758222001
