Id,Unit__c,StartDate,Tenancy_End_Date__c
800Pv00000FzfQlIAJ,a1G4J0000025wFvUAI,,
800Pv00000FzfQmIAJ,a1G4J0000025wNNUAY,,
800Pv00000FzfQnIAJ,a1G4J0000025wNYUAY,2024-03-24,2027-03-23
800Pv00000FzfQoIAJ,a1G4J0000025wODUAY,2022-06-30,2023-06-29
800Pv00000FzfSWIAZ,a1G4J0000025xmQUAQ,2020-10-01,2270-09-30
800Pv00000FzfSXIAZ,a1G4J0000025xmTUAQ,2024-06-01,2026-05-31
800Pv00000FzfSYIAZ,a1G4J0000025xmZUAQ,2024-06-20,2025-06-19
800Pv00000FzfSZIAZ,a1G4J0000025xmzUAA,2023-11-22,2024-11-21
800Pv00000FzfSaIAJ,a1G4J0000025xn9UAA,2023-08-15,2024-08-14
800Pv00000FzfSbIAJ,a1G4J0000025xncUAA,2023-11-28,2025-11-27
800Pv00000FzfScIAJ,a1G4J0000025xo1UAA,2017-10-24,2019-10-23
800Pv00000FzfSdIAJ,a1G4J0000025xo2UAA,2022-05-01,2025-04-30
800Pv00000FzfSeIAJ,a1G4J0000025xoWUAQ,2024-05-31,2025-05-30
800Pv00000FzfSfIAJ,a1G4J0000025xp4UAA,2023-09-21,2024-09-20
800Pv00000FzfSgIAJ,a1G4J0000025yBaUAI,2023-08-18,2024-08-17
800Pv00000FzfShIAJ,a1G4J0000025yCbUAI,2024-03-29,2025-03-28
800Pv00000FzfSiIAJ,a1G4J0000025yCgUAI,2023-09-11,2026-05-21
800Pv00000FzfSjIAJ,a1G4J0000025yCwUAI,2023-09-29,2024-09-28
800Pv00000FzfSkIAJ,a1G4J0000025yD4UAI,2024-06-26,2025-06-25
800Pv00000FzfSlIAJ,a1G4J0000025yD5UAI,2023-09-15,2024-09-14
800Pv00000FzfSmIAJ,a1G4J0000025yDLUAY,2023-01-25,2025-01-24
800Pv00000FzfSnIAJ,a1G4J0000025yDjUAI,2023-11-07,2024-11-06
800Pv00000FzfSoIAJ,a1G4J0000025yDlUAI,2024-06-03,2025-06-02
800Pv00000FzfSpIAJ,a1G4J0000025yE7UAI,2023-06-26,2024-06-25
800Pv00000FzfvMIAR,a1G4J00000262JLUAY,2009-09-29,2134-09-28
