product2id,pricebook2id,unitprice,rent_periodicity__c,isactive
01t8d000000ohcWAAQ,01sPv000002kqTzIAI,1945.1,Monthly,TRUE
01t8d000000ohg4AAA,01sPv0000038lL1IAI,1829.03,Monthly,TRUE
01t8d000000ohg4AAA,01sPv0000038lL2IAI,1837.81,Monthly,TRUE
01t8d000000ohg4AAA,01sPv0000038lKzIAI,1846.93,Monthly,TRUE
01t8d000000ohg4AAA,01sPv0000038lL0IAI,1856.09,Monthly,TRUE
01t8d000000ohg4AAA,01sPv00000246dZIAQ,1864.41,Monthly,TRUE
01t8d000000ohg4AAA,01sPv000002kqTtIAI,1873.66,Monthly,TRUE
01t8d000000ohg4AAA,01sPv000002kqTuIAI,1882.65,Monthly,TRUE
01t8d000000ohg4AAA,01sPv000002kqTvIAI,1891.99,Monthly,TRUE
01t8d000000ohg4AAA,01sPv000002kqTwIAI,1901.07,Monthly,TRUE
01t8d000000ohg4AAA,01sPv000002kqTxIAI,1910.5,Monthly,TRUE
01t8d000000ohg4AAA,01sPv000002kqTyIAI,1919.98,Monthly,TRUE
01t8d000000ohg4AAA,01sPv000002kqTzIAI,1929.2,Monthly,TRUE
01t8d000000ohWDAAY,01sPv0000038lL1IAI,1386.85,Monthly,TRUE
01t8d000000ohWDAAY,01sPv0000038lL2IAI,1393.5,Monthly,TRUE
01t8d000000ohWDAAY,01sPv0000038lKzIAI,1400.42,Monthly,TRUE
01t8d000000ohWDAAY,01sPv0000038lL0IAI,1407.37,Monthly,TRUE
01t8d000000ohWDAAY,01sPv00000246dZIAQ,1413.67,Monthly,TRUE
01t8d000000ohWDAAY,01sPv000002kqTtIAI,1420.68,Monthly,TRUE
01t8d000000ohWDAAY,01sPv000002kqTuIAI,1427.5,Monthly,TRUE
01t8d000000ohWDAAY,01sPv000002kqTvIAI,1434.59,Monthly,TRUE
01t8d000000ohWDAAY,01sPv000002kqTwIAI,1441.47,Monthly,TRUE
01t8d000000ohWDAAY,01sPv000002kqTxIAI,1448.62,Monthly,TRUE
01t8d000000ohWDAAY,01sPv000002kqTyIAI,1455.81,Monthly,TRUE
01t8d000000ohWDAAY,01sPv000002kqTzIAI,1462.8,Monthly,TRUE
01t8d000000ohWIAAY,01sPv0000038lL1IAI,1391.87,Monthly,TRUE
01t8d000000ohWIAAY,01sPv0000038lL2IAI,1398.55,Monthly,TRUE
01t8d000000ohWIAAY,01sPv0000038lKzIAI,1405.49,Monthly,TRUE
01t8d000000ohWIAAY,01sPv0000038lL0IAI,1412.46,Monthly,TRUE
01t8d000000ohWIAAY,01sPv00000246dZIAQ,1418.79,Monthly,TRUE
01t8d000000ohWIAAY,01sPv000002kqTtIAI,1425.83,Monthly,TRUE
01t8d000000ohWIAAY,01sPv000002kqTuIAI,1432.68,Monthly,TRUE
01t8d000000ohWIAAY,01sPv000002kqTvIAI,1439.78,Monthly,TRUE
01t8d000000ohWIAAY,01sPv000002kqTwIAI,1446.7,Monthly,TRUE
01t8d000000ohWIAAY,01sPv000002kqTxIAI,1453.87,Monthly,TRUE
01t8d000000ohWIAAY,01sPv000002kqTyIAI,1461.09,Monthly,TRUE
01t8d000000ohWIAAY,01sPv000002kqTzIAI,1468.1,Monthly,TRUE
01t8d000000oiInAAI,01sPv0000038lL1IAI,1346.65,Monthly,TRUE
01t8d000000oiInAAI,01sPv0000038lL2IAI,1353.11,Monthly,TRUE
01t8d000000oiInAAI,01sPv0000038lKzIAI,1359.83,Monthly,TRUE
01t8d000000oiInAAI,01sPv0000038lL0IAI,1366.57,Monthly,TRUE
01t8d000000oiInAAI,01sPv00000246dZIAQ,1372.69,Monthly,TRUE
01t8d000000oiInAAI,01sPv000002kqTtIAI,1379.5,Monthly,TRUE
01t8d000000oiInAAI,01sPv000002kqTuIAI,1386.13,Monthly,TRUE
01t8d000000oiInAAI,01sPv000002kqTvIAI,1393,Monthly,TRUE
01t8d000000oiInAAI,01sPv000002kqTwIAI,1399.69,Monthly,TRUE
01t8d000000oiInAAI,01sPv000002kqTxIAI,1406.64,Monthly,TRUE
01t8d000000oiInAAI,01sPv000002kqTyIAI,1413.61,Monthly,TRUE
01t8d000000oiInAAI,01sPv000002kqTzIAI,1420.4,Monthly,TRUE
01t8d000000oiKTAAY,01sPv0000038lL1IAI,1346.65,Monthly,TRUE
01t8d000000oiKTAAY,01sPv0000038lL2IAI,1353.11,Monthly,TRUE
01t8d000000oiKTAAY,01sPv0000038lKzIAI,1359.83,Monthly,TRUE
01t8d000000oiKTAAY,01sPv0000038lL0IAI,1366.57,Monthly,TRUE
01t8d000000oiKTAAY,01sPv00000246dZIAQ,1372.69,Monthly,TRUE
