"pms_reference","opportunity_id","opportunity_agreement_type","tenancy_agreement_type"
"222583076005","006Nz00000EDFNmIAP","Parking Licence","Licence"
"222583076005","006Nz00000M93DOIAZ","Parking Licence","Licence"
"222583076005","006Nz00000SbODEIA3","Parking Licence","Licence"
"222583078005","006Nz00000IolnlIAB","Parking Licence","Licence"
"222583083003","006Nz00000TX3jCIAT","Parking Licence","Licence"
"222583085007","006Nz00000SpTawIAF","Parking Licence","Licence"
"222583086008","006Nz00000MGSN4IAP","Parking Licence","Licence"
"222583086008","006Nz00000Ta83NIAR","Parking Licence","Licence"
"222583087006","006Nz00000MiQv5IAF","Parking Licence","Licence"
"222583087006","006Nz00000RxJP6IAN","Parking Licence","Licence"
"222583088006","006Nz00000KaRj4IAF","Parking Licence","Licence"
"222583089006","006Nz00000RXDzqIAH","Parking Licence","Licence"
"222583089006","006Nz00000TBIAgIAP","Parking Licence","Licence"
"222583090003","006Nz00000In8wYIAR","Parking Licence","Licence"
"222583091004","006Nz00000LxEMKIA3","Parking Licence","Licence"
"222583093005","006Nz00000EYWF7IAP","Parking Licence","Licence"
"222583093005","006Nz00000TEhvqIAD","Parking Licence","Licence"
"222583094006","006Nz00000JUVWUIA5","Parking Licence","Licence"
"222583096003","006Nz000006ouDIIAY","Parking Licence","Licence"
"222583096003","006Nz00000L7kDMIAZ","Parking Licence","Licence"
"222583098003","006Nz00000Ir3a5IAB","Parking Licence","Licence"
"222583099005","006Nz00000ILoxIIAT","Parking Licence","Licence"
"222583099005","006Nz00000IhB5xIAF","Parking Licence","Licence"
"222583099005","006Nz00000SzPSuIAN","Parking Licence","Licence"
"222583101004","006Nz000004zWdOIAU","Parking Licence","Licence"
"222583101004","006Nz00000KUeYXIA1","Parking Licence","Licence"
"222583102007","006Nz00000JfFMjIAN","Parking Licence","Licence"
"222583106004","006Nz000009G9K4IAK","Parking Licence","Licence"
"222583106004","006Nz00000NEWsbIAH","Parking Licence","Licence"
"222583107009","006Nz00000SHlIXIA1","Parking Licence","Licence"
"222583107009","006Nz00000TEeElIAL","Parking Licence","Licence"
"222583111003","006Nz00000JS45oIAD","Parking Licence","Licence"
"222583111003","006Nz00000N2pNnIAJ","Parking Licence","Licence"
"222583114004","006Nz00000Tj1daIAB","Parking Licence","Licence"
"222583115009","006Nz00000RV9DxIAL","Parking Licence","Licence"
"222583116007","006Nz00000EhLFeIAN","Parking Licence","Licence"
"222583116007","006Nz00000MaedWIAR","Parking Licence","Licence"
"222583116007","006Nz00000U0medIAB","Parking Licence","Licence"
"222583117006","006Nz00000L4FIxIAN","Parking Licence","Licence"
"222583118005","006Nz00000OFmWLIA1","Parking Licence","Licence"
"222583119005","006Nz00000GNhrIIAT","Parking Licence","Licence"
"222583123006","006Nz00000FHtkFIAT","Parking Licence","Licence"
"222583123006","006Nz00000KqysdIAB","Parking Licence","Licence"
"222583123006","006Nz00000TvwbYIAR","Parking Licence","Licence"
"222583126007","006Nz00000MyMNbIAN","Parking Licence","Licence"
"222583128007","006Nz00000INiXYIA1","Parking Licence","Licence"
"222583130003","006Nz00000P9gMdIAJ","Parking Licence","Licence"
"222583131006","006Nz00000P2Is6IAF","Parking Licence","Licence"
"222583132003","006Nz000005ZFirIAG","Parking Licence","Licence"
"222583132003","006Nz00000KBmkIIAT","Parking Licence","Licence"
"222583135005","006Nz000007DboxIAC","Parking Licence","Licence"
"222583135005","006Nz00000Knn2iIAB","Parking Licence","Licence"
"222583137004","006Nz00000BaTYDIA3","Parking Licence","Licence"
"222583137004","006Nz00000PzExRIAV","Parking Licence","Licence"
"222583141006","006Nz00000LfoBNIAZ","Parking Licence","Licence"
"222583142004","006Nz00000RXTbZIAX","Parking Licence","Licence"
"222583146006","006Nz00000RVJN1IAP","Parking Licence","Licence"
"222583147003","006Nz00000JS4LzIAL","Parking Licence","Licence"
"222583148005","006Nz000006uwQuIAI","Parking Licence","Licence"
"222583148005","006Nz000008fjmhIAA","Parking Licence","Licence"
"222583148005","006Nz00000KIY8SIAX","Parking Licence","Licence"
"222583149003","006Nz00000AjLtlIAF","Parking Licence","Licence"
"222583149003","006Nz00000Of17XIAR","Parking Licence","Licence"
"222583150005","006Nz00000GNrIbIAL","Parking Licence","Licence"
"222583150005","006Nz00000UFkBFIA1","Parking Licence","Licence"
"222583151003","006Nz000004KZ0wIAG","Parking Licence","Licence"
"222583151003","006Nz00000Ea5VnIAJ","Parking Licence","Licence"
"222583151003","006Nz00000Ih9SNIAZ","Parking Licence","Licence"
"222583152003","006Nz00000FAB1ZIAX","Parking Licence","Licence"
"222583152003","006Nz00000KZTBiIAP","Parking Licence","Licence"
"222583152003","006Nz00000TPX9tIAH","Parking Licence","Licence"
"222583154004","006Nz00000LqL7YIAV","Parking Licence","Licence"
"222583155002","006Nz00000Jt4PsIAJ","Parking Licence","Licence"
"222583158006","006Nz00000ImysYIAR","Parking Licence","Licence"
"222599001005","006Nz00000QgnmxIAB","DECANT AGREEMENT NORMAL","Decant Agreement Normal"
"222601026004","006Nz00000FGr7nIAD","Non-Housing (Company)","AST"
"222606027004","006Nz00000GnvToIAJ","Non-Housing (Company)","AST"
"222611002004","006Nz00000Q0WYsIAN","DECANT AGREEMENT NORMAL","Decant Agreement Normal"
"222611002004","006Nz00000QbS6TIAV","DECANT AGREEMENT NORMAL","Decant Agreement Normal"
"222616001005","006Nz00000QggwlIAB","DECANT AGREEMENT NORMAL","Decant Agreement Normal"
"222629001005","006Nz00000TNXNaIAP","Parking Licence","Licence"
"222629010006","006Nz00000QRpVlIAL","Parking Licence","Licence"
"222629014004","006Nz00000E7YxmIAF","Parking Licence","Licence"
"222629014004","006Nz00000EkIrdIAF","Parking Licence","Licence"
"222629014004","006Nz00000SrFFgIAN","Parking Licence","Licence"
"222629015004","006Nz000009y6OxIAI","Parking Licence","Licence"
"222629015004","006Nz00000PncgvIAB","Parking Licence","Licence"
"222629017004","006Nz00000GO2yyIAD","Parking Licence","Licence"
"222629017004","006Nz00000MLBlWIAX","Parking Licence","Licence"
"222629020005","006Nz00000QVCypIAH","Parking Licence","Licence"
"222629020005","006Nz00000SKbcvIAD","Parking Licence","Licence"
"222629022005","006Nz00000SejO9IAJ","Parking Licence","Licence"
"222629022005","006Nz00000SuDM5IAN","Parking Licence","Licence"
"222629024006","006Nz00000Kvu6pIAB","Parking Licence","Licence"
"222629024006","006Nz00000RtnrpIAB","Parking Licence","Licence"
"222629027007","006Nz00000MZ9zpIAD","Parking Licence","Licence"
"222629028005","006Nz000009xvmjIAA","Parking Licence","Licence"
"222629028005","006Nz00000OY4xqIAD","Parking Licence","Licence"
"222629030004","006Nz00000KZkviIAD","Parking Licence","Licence"
"222629031004","006Nz00000Eb5ogIAB","Parking Licence","Licence"
"222629032005","006Nz00000EH6DrIAL","Parking Licence","Licence"
"222629032005","006Nz00000TbfRpIAJ","Parking Licence","Licence"
"222629033005","006Nz00000EXmx6IAD","Parking Licence","Licence"
"222629033005","006Nz00000T3HOeIAN","Parking Licence","Licence"
"222629034006","006Nz00000EN90vIAD","Parking Licence","Licence"
"222629034006","006Nz00000GIOynIAH","Parking Licence","Licence"
"222629034006","006Nz00000ThJ8gIAF","Parking Licence","Licence"
"222629036004","006Nz00000DVwppIAD","Parking Licence","Licence"
"222629036004","006Nz00000SFm2vIAD","Parking Licence","Licence"
"222629037003","006Nz00000Bvi9GIAR","Parking Licence","Licence"
"222629037003","006Nz00000QBiBsIAL","Parking Licence","Licence"
"222629038004","006Nz00000CD4V7IAL","Parking Licence","Licence"
"222629038004","006Nz00000Qv68AIAR","Parking Licence","Licence"
"222629041007","006Nz00000MfRJ3IAN","Parking Licence","Licence"
"222629041007","006Nz00000NoRL1IAN","Parking Licence","Licence"
"222629041007","006Nz00000QyUkUIAV","Parking Licence","Licence"
"222629041007","006Nz00000R7kJZIAZ","Parking Licence","Licence"
"222629042004","006Nz000009yAP8IAM","Parking Licence","Licence"
"222629042004","006Nz00000NoRL0IAN","Parking Licence","Licence"
"222629044005","006Nz00000FH6wPIAT","Parking Licence","Licence"
"222629044005","006Nz00000MBggyIAD","Parking Licence","Licence"
"222629044005","006Nz00000U8n7JIAR","Parking Licence","Licence"
"222629045005","006Nz00000FHzHmIAL","Parking Licence","Licence"
"222629047004","006Nz00000LkMKnIAN","Parking Licence","Licence"
