"PMS_Reference__c","tenancy_status__c","status"
"103920004002","Current","Activated"
"103926001001","Current","Activated"
"104189002003","Current","Activated"
"103925001008","Current","Activated"
"104439001003","Current","Activated"
"104629001002","Current","Activated"
"104772001003","Current","Activated"
"103920009001","Current","Activated"
"103920003004","Current","Activated"
"104191006003","Current","Activated"
"104488001005","Current","Activated"
"103941001002","Current","Activated"
"103945001001","Current","Activated"
"103988001002","Current","Activated"
"103943001002","Current","Activated"
"104411001001","Current","Activated"
"104152112003","Current","Activated"
"104191003001","Current","Activated"
"104217005003","Current","Activated"
"104413001003","Current","Activated"
"103950001002","Current","Activated"
"104078001001","Current","Activated"
"104427001003","Current","Activated"
"104471001004","Current","Activated"
"103946001003","Current","Activated"
"104075001003","Current","Activated"
"104472002003","Current","Activated"
"103962001002","Current","Activated"
"107703001002","Current","Activated"
"107728001002","Current","Activated"
"103947001001","Current","Activated"
"103964001004","Current","Activated"
"103961001002","Current","Activated"
"104152047002","Current","Activated"
"104152086002","Current","Activated"
"107554001001","Current","Activated"
"108619010003","Current","Activated"
"103968001001","Current","Activated"
"103955001001","Current","Activated"
"104152028001","Current","Activated"
"104474001003","Current","Activated"
"107727001002","Current","Activated"
"103969001002","Current","Activated"
"103993001002","Current","Activated"
"103971001002","Current","Activated"
"104002001003","Current","Activated"
"104030001002","Current","Activated"
"104407002004","Current","Activated"
"104457015002","Current","Activated"
"103966001003","Current","Activated"
"103979001003","Current","Activated"
"104174019001","Current","Activated"
"104709013001","Current","Activated"
"104721018003","Current","Activated"
"103978001001","Current","Activated"
"104152059004","Current","Activated"
"104177005004","Current","Activated"
"103984001001","Current","Activated"
"103976001003","Current","Activated"
"104226002005","Current","Activated"
"105827001001","Current","Activated"
"103977001002","Current","Activated"
"103989001003","Current","Activated"
"104209005002","Current","Activated"
"104221001001","Current","Activated"
"103994001002","Current","Activated"
"104110001001","Current","Activated"
"104174044003","Current","Activated"
"104626001001","Current","Activated"
"103998001005","Current","Activated"
"104192002003","Current","Activated"
"104544001001","Current","Activated"
"104553001001","Current","Activated"
"104000001001","Current","Activated"
"104152010002","Current","Activated"
"104008001001","Current","Activated"
"104152031004","Current","Activated"
"104014001002","Current","Activated"
"104152036002","Current","Activated"
"104152114002","Current","Activated"
